id,city,country,state
5554072,Juneau,US,AK
5554428,Ketchikan,US,AK
5557293,Sitka,US,AK
5859699,College,US,AK
5861187,Eagle River,US,AK
5861897,Fairbanks,US,AK
5862727,Gateway,US,AK
5864145,Homer,US,AK
5865702,Kalifornsky,US,AK
5866063,Kenai,US,AK
5866583,Kodiak,US,AK
5868651,Meadow Lakes,US,AK
5871146,Palmer,US,AK
5875173,Sterling,US,AK
5875796,Tanaina,US,AK
5877641,Wasilla,US,AK
5879400,Anchorage,US,AK
5879898,Badger,US,AK
5880568,Bethel,US,AK
7262897,Knik-Fairview,US,AK
7262905,Lakes,US,AK
8605012,Elmendorf Air Force Base,US,AK
4046255,Bay Minette,US,AL
4048023,Bessemer,US,AL
4049979,Birmingham,US,AL
4051059,Boaz,US,AL
4051714,Brewton,US,AL
4051894,Brook Highland,US,AL
4052964,Cahaba Heights,US,AL
4053050,Calera,US,AL
4054378,Center Point,US,AL
4054852,Chelsea,US,AL
4054996,Chickasaw,US,AL
4055045,Childersburg,US,AL
4055577,Clanton,US,AL
4055650,Clay,US,AL
4057835,Cullman,US,AL
4058061,Daleville,US,AL
4058198,Danville,US,AL
4058219,Daphne,US,AL
4058553,Decatur,US,AL
4058662,Demopolis,US,AL
4059102,Dothan,US,AL
4059870,East Florence,US,AL
4060791,Enterprise,US,AL
4060954,Eufaula,US,AL
4061206,Fairfield,US,AL
4061234,Fairhope,US,AL
4062577,Florence,US,AL
4062644,Foley,US,AL
4062774,Forestdale,US,AL
4062861,Fort Payne,US,AL
4063570,Fultondale,US,AL
4063619,Gadsden,US,AL
4063765,Gardendale,US,AL
4064310,Glencoe,US,AL
4065029,Grayson Valley,US,AL
4065302,Greenville,US,AL
4065552,Gulf Shores,US,AL
4065649,Guntersville,US,AL
4065965,Hamilton,US,AL
4066449,Hartselle,US,AL
4066463,Harvest,US,AL
4066811,Helena,US,AL
4067927,Homewood,US,AL
4067994,Hoover,US,AL
4068446,Hueytown,US,AL
4068590,Huntsville,US,AL
4069243,Irondale,US,AL
4069458,Jackson,US,AL
4069553,Jacksonville,US,AL
4069659,Jasper,US,AL
4071488,Lake Purdy,US,AL
4071763,Lanett,US,AL
4072130,Leeds,US,AL
4072767,Lincoln,US,AL
4074267,Madison,US,AL
4075692,Meadowbrook,US,AL
4075854,Meridianville,US,AL
4075977,Midfield,US,AL
4076239,Millbrook,US,AL
4076598,Mobile,US,AL
4076725,Monroeville,US,AL
4076771,Montevallo,US,AL
4076784,Montgomery,US,AL
4076842,Moody,US,AL
4076982,Moores Mill,US,AL
4078646,Mountain Brook,US,AL
4078964,Muscle Shoals,US,AL
4080555,Northport,US,AL
4081644,Opelika,US,AL
4081671,Oneonta,US,AL
4081683,Opp,US,AL
4081696,Orange Beach,US,AL
4081914,Oxford,US,AL
4081936,Ozark,US,AL
4082569,Pelham,US,AL
4082589,Pell City,US,AL
4082866,Phenix City,US,AL
4083073,Pike Road,US,AL
4083697,Pinson,US,AL
4083846,Pleasant Grove,US,AL
4084796,Prattville,US,AL
4084888,Prichard,US,AL
4085336,Rainbow City,US,AL
4086285,Roanoke,US,AL
4086363,Robertsdale,US,AL
4087313,Russellville,US,AL
4088146,Saks,US,AL
4088628,Saraland,US,AL
4088737,Satsuma,US,AL
4088916,Scottsboro,US,AL
4089114,Selma,US,AL
4089536,Sheffield,US,AL
4091058,Southside,US,AL
4091136,Spanish Fort,US,AL
4092671,Sylacauga,US,AL
4092788,Talladega,US,AL
4092970,Tarrant,US,AL
4093399,Theodore,US,AL
4093753,Tillmans Corner,US,AL
4094163,Troy,US,AL
4094212,Trussville,US,AL
4094455,Tuscaloosa,US,AL
4094484,Tuscumbia,US,AL
4094490,Tuskegee,US,AL
4095186,Valley,US,AL
4095415,Vestavia Hills,US,AL
4097257,Wetumpka,US,AL
4829762,Alabaster,US,AL
4829791,Albertville,US,AL
4829843,Alexander City,US,AL
4830099,Andalusia,US,AL
4830198,Anniston,US,AL
4830455,Arab,US,AL
4830668,Athens,US,AL
4830759,Atmore,US,AL
4830768,Attalla,US,AL
4830796,Auburn,US,AL
8605041,Dixiana,US,AL
4099296,Alma,US,AR
4099647,Arkadelphia,US,AR
4100525,Batesville,US,AR
4100984,Beebe,US,AR
4101114,Bella Vista,US,AR
4101241,Benton,US,AR
4101260,Bentonville,US,AR
4101309,Berryville,US,AR
4102412,Blytheville,US,AR
4103448,Bryant,US,AR
4103957,Cabot,US,AR
4104182,Camden,US,AR
4105168,Centerton,US,AR
4105879,Clarksville,US,AR
4106458,Conway,US,AR
4107198,Crossett,US,AR
4107802,De Queen,US,AR
4109452,East End,US,AR
4109785,El Dorado,US,AR
4110443,Farmington,US,AR
4110486,Fayetteville,US,AR
4111382,Forrest City,US,AR
4111410,Fort Smith,US,AR
4113143,Greenwood,US,AR
4113956,Harrison,US,AR
4114225,Heber Springs,US,AR
4114272,Helena,US,AR
4115181,Hope,US,AR
4115412,Hot Springs,US,AR
4115429,Hot Springs Village,US,AR
4116315,Jacksonville,US,AR
4116834,Jonesboro,US,AR
4119403,Little Rock,US,AR
4119972,Lowell,US,AR
4120323,Magnolia,US,AR
4120388,Malvern,US,AR
4120524,Marion,US,AR
4120792,Maumelle,US,AR
4121297,Mena,US,AR
4122015,Monticello,US,AR
4122218,Morrilton,US,AR
4123037,Mountain Home,US,AR
4123830,Newport,US,AR
4124112,North Little Rock,US,AR
4125027,Osceola,US,AR
4125388,Paragould,US,AR
4126226,Pine Bluff,US,AR
4126923,Pocahontas,US,AR
4128894,Rogers,US,AR
4129397,Russellville,US,AR
4130430,Searcy,US,AR
4131116,Siloam Springs,US,AR
4132093,Springdale,US,AR
4132625,Stuttgart,US,AR
4133367,Texarkana,US,AR
4133933,Trumann,US,AR
4134716,Van Buren,US,AR
4135349,Warren,US,AR
4135840,West Helena,US,AR
4135865,West Memphis,US,AR
4136153,White Hall,US,AR
4137215,Wynne,US,AR
4828193,Sherwood,US,AR
6331911,Helena-West Helena,US,AR
8605040,Hot Springs National Park,US,AR
5284580,Holbrook,US,AZ
5284905,Bisbee,US,AZ
5287262,Buckeye,US,AZ
5287565,Bullhead City,US,AZ
5288261,Camp Verde,US,AZ
5288636,Casa Grande,US,AZ
5288661,Casas Adobes,US,AZ
5288784,Catalina,US,AZ
5288786,Catalina Foothills,US,AZ
5288858,Cave Creek,US,AZ
5289282,Chandler,US,AZ
5289658,Chino Valley,US,AZ
5290663,Coolidge,US,AZ
5290925,Corona de Tucson,US,AZ
5291033,Cottonwood,US,AZ
5293083,Douglas,US,AZ
5293183,Drexel Heights,US,AZ
5293996,El Mirage,US,AZ
5294167,Eloy,US,AZ
5294810,Flagstaff,US,AZ
5294902,Florence,US,AZ
5294937,Flowing Wells,US,AZ
5295143,Fortuna Foothills,US,AZ
5295177,Fountain Hills,US,AZ
5295903,Gilbert,US,AZ
5295985,Glendale,US,AZ
5296013,Globe,US,AZ
5296106,Gold Camp,US,AZ
5296189,Golden Valley,US,AZ
5296266,Goodyear,US,AZ
5296802,Green Valley,US,AZ
5296962,Guadalupe,US,AZ
5300830,Kayenta,US,AZ
5301067,Kingman,US,AZ
5301388,Lake Havasu City,US,AZ
5301641,Laveen,US,AZ
5302053,Litchfield Park,US,AZ
5303705,Marana,US,AZ
5303752,Maricopa,US,AZ
5304391,Mesa,US,AZ
5306523,New River,US,AZ
5306611,Nogales,US,AZ
5307540,Oro Valley,US,AZ
5307778,Page,US,AZ
5308049,Paradise Valley,US,AZ
5308281,Paulden,US,AZ
5308305,Payson,US,AZ
5308480,Peoria,US,AZ
5308655,Phoenix,US,AZ
5308778,Picture Rocks,US,AZ
5309842,Prescott,US,AZ
5309858,Prescott Valley,US,AZ
5310193,Queen Creek,US,AZ
5311433,Rio Rico,US,AZ
5312476,Safford,US,AZ
5312544,Sahuarita,US,AZ
5312913,San Luis,US,AZ
5313457,Scottsdale,US,AZ
5313667,Sedona,US,AZ
5314245,Show Low,US,AZ
5314328,Sierra Vista,US,AZ
5314943,Snowflake,US,AZ
5315062,Somerton,US,AZ
5315313,South Tucson,US,AZ
5316172,Summit,US,AZ
5316201,Sun City,US,AZ
5316205,Sun City West,US,AZ
5316209,Sun Lakes,US,AZ
5316428,Surprise,US,AZ
5316890,Tanque Verde,US,AZ
5317058,Tempe,US,AZ
5317071,Tempe Junction,US,AZ
5317377,Three Points,US,AZ
5317663,Tolleson,US,AZ
5318279,Tuba City,US,AZ
5318313,Tucson,US,AZ
5318320,Tucson Estates,US,AZ
5319311,Vail,US,AZ
5320871,Wickenburg,US,AZ
5321135,Williamson,US,AZ
5321473,Winslow,US,AZ
5322027,Youngtown,US,AZ
5322053,Yuma,US,AZ
5550192,West Sedona,US,AZ
5551498,Anthem,US,AZ
5551535,Apache Junction,US,AZ
5551665,Arizona City,US,AZ
5552301,Avondale,US,AZ
5552323,Avra Valley,US,AZ
5553284,Benson,US,AZ
5553533,Big Park,US,AZ
7176038,Verde Village,US,AZ
7260892,Village of Oak Creek (Big Park),US,AZ
7261785,Sierra Vista Southeast,US,AZ
7261968,New Kingman-Butler,US,AZ
7262440,Valencia West,US,AZ
7310164,San Tan Valley,US,AZ
5284756,Fillmore,US,CA
5322317,Acton,US,CA
5322400,Adelanto,US,CA
5322551,Agoura,US,CA
5322553,Agoura Hills,US,CA
5322737,Alameda,US,CA
5322794,Alamo,US,CA
5322850,Albany,US,CA
5323060,Alhambra,US,CA
5323163,Aliso Viejo,US,CA
5323371,Alondra Park,US,CA
5323401,Alpine,US,CA
5323499,Alta Sierra,US,CA
5323500,Alta Sierra,US,CA
5323525,Altadena,US,CA
5323566,Alum Rock,US,CA
5323694,American Canyon,US,CA
5323810,Anaheim,US,CA
5324105,Antelope,US,CA
5324200,Antioch,US,CA
5324363,Apple Valley,US,CA
5324400,Aptos,US,CA
5324477,Arcadia,US,CA
5324802,Arroyo Grande,US,CA
5324862,Artesia,US,CA
5324903,Arvin,US,CA
5325011,Ashland,US,CA
5325111,Atascadero,US,CA
5325147,Atherton,US,CA
5325187,Atwater,US,CA
5325223,Auburn,US,CA
5325256,August,US,CA
5325327,Avenal,US,CA
5325372,Avocado Heights,US,CA
5325423,Azusa,US,CA
5325738,Bakersfield,US,CA
5325866,Baldwin Park,US,CA
5326032,Banning,US,CA
5326297,Barstow,US,CA
5326305,Barstow Heights,US,CA
5326561,Bay Point,US,CA
5327003,Bear Valley Springs,US,CA
5327098,Beaumont,US,CA
5327298,Bell,US,CA
5327319,Bell Gardens,US,CA
5327422,Bellflower,US,CA
5327455,Belmont,US,CA
5327522,Ben Lomond,US,CA
5327550,Benicia,US,CA
5327684,Berkeley,US,CA
5327717,Bermuda Dunes,US,CA
5328041,Beverly Hills,US,CA
5331920,Burlingame,US,CA
5332593,Calabasas,US,CA
5332698,Calexico,US,CA
5332748,California City,US,CA
5332929,Calipatria,US,CA
5332937,Calistoga,US,CA
5332957,Calimesa,US,CA
5333180,Camarillo,US,CA
5333207,Cambria,US,CA
5333282,Cameron Park,US,CA
5333689,Campbell,US,CA
5333913,Canoga Park,US,CA
5333976,Canyon Lake,US,CA
5334096,Capitola,US,CA
5334223,Carlsbad,US,CA
5334336,Carmichael,US,CA
5334423,Carpinteria,US,CA
5334519,Carson,US,CA
5334799,Castaic,US,CA
5334928,Castro Valley,US,CA
5334937,Castroville,US,CA
5335006,Cathedral City,US,CA
5335650,Ceres,US,CA
5335662,Century City,US,CA
5335663,Cerritos,US,CA
5336017,Charter Oak,US,CA
5336054,Chatsworth,US,CA
5336185,Cherry Valley,US,CA
5336190,Cherryland,US,CA
5336269,Chico,US,CA
5336537,Chino,US,CA
5336545,Chino Hills,US,CA
5336667,Chowchilla,US,CA
5336899,Chula Vista,US,CA
5337551,Citrus,US,CA
5337561,Citrus Heights,US,CA
5337696,Claremont,US,CA
5337841,Clayton,US,CA
5337908,Clearlake,US,CA
5338104,Cloverdale,US,CA
5338122,Clovis,US,CA
5338166,Coachella,US,CA
5338196,Coalinga,US,CA
5338783,Colton,US,CA
5338866,Colusa,US,CA
5338929,Commerce,US,CA
5339066,Compton,US,CA
5339111,Concord,US,CA
5339539,Corcoran,US,CA
5339614,Corning,US,CA
5339631,Corona,US,CA
5339663,Coronado,US,CA
5339766,Corte Madera,US,CA
5339840,Costa Mesa,US,CA
5339865,Cotati,US,CA
5339873,Coto De Caza,US,CA
5340066,Country Club,US,CA
5340175,Covina,US,CA
5340674,Crestline,US,CA
5341051,Cudahy,US,CA
5341114,Culver City,US,CA
5341145,Cupertino,US,CA
5341256,Cypress,US,CA
5341430,Daly City,US,CA
5341483,Dana Point,US,CA
5341531,Danville,US,CA
5341704,Davis,US,CA
5342425,Del Aire,US,CA
5342485,Delano,US,CA
5342522,Delhi,US,CA
5342710,Desert Hot Springs,US,CA
5342992,Diamond Bar,US,CA
5343038,Diamond Springs,US,CA
5343171,Dinuba,US,CA
5343202,Discovery Bay,US,CA
5343303,Dixon,US,CA
5343858,Downey,US,CA
5344147,Duarte,US,CA
5344157,Dublin,US,CA
5344359,Durham,US,CA
5344702,Earlimart,US,CA
5344817,East Rancho Dominguez,US,CA
5344844,East Foothills,US,CA
5344942,East Hemet,US,CA
5344987,East La Mirada,US,CA
5344994,East Los Angeles,US,CA
5345032,East Palo Alto,US,CA
5345038,East Pasadena,US,CA
5345049,East Porterville,US,CA
5345071,East San Gabriel,US,CA
5345529,El Cajon,US,CA
5345609,El Centro,US,CA
5345623,El Cerrito,US,CA
5345624,El Cerrito,US,CA
5345679,El Dorado Hills,US,CA
5345716,El Granada,US,CA
5345743,El Monte,US,CA
5345844,El Rio,US,CA
5345860,El Segundo,US,CA
5345888,El Sobrante,US,CA
5346111,Elk Grove,US,CA
5346342,Elverta,US,CA
5346462,Emeryville,US,CA
5346646,Encinitas,US,CA
5346811,Escalon,US,CA
5346827,Escondido,US,CA
5346986,Eucalyptus Hills,US,CA
5347239,Exeter,US,CA
5347287,Fair Oaks,US,CA
5347322,Fairfax,US,CA
5347335,Fairfield,US,CA
5347397,Fairview,US,CA
5347578,Fallbrook,US,CA
5347742,Farmersville,US,CA
5348299,Firebaugh,US,CA
5349613,Florin,US,CA
5349705,Folsom,US,CA
5349755,Fontana,US,CA
5349803,Foothill Farms,US,CA
5349828,Foothill Ranch,US,CA
5350039,Fort Bragg,US,CA
5350057,Fort Irwin,US,CA
5350159,Foster City,US,CA
5350207,Fountain Valley,US,CA
5350351,Fowler,US,CA
5350734,Fremont,US,CA
5350937,Fresno,US,CA
5351247,Fullerton,US,CA
5351428,Galt,US,CA
5351496,Garden Acres,US,CA
5351515,Garden Grove,US,CA
5351549,Gardena,US,CA
5351654,Garnet,US,CA
5352214,Gilroy,US,CA
5352350,Glen Avon,US,CA
5352423,Glendale,US,CA
5352439,Glendora,US,CA
5352771,Gold River,US,CA
5352875,Golden Hills,US,CA
5352963,Goleta,US,CA
5352997,Gonzales,US,CA
5353058,Good Hope,US,CA
5353484,Grand Terrace,US,CA
5353530,Granite Bay,US,CA
5353775,Grass Valley,US,CA
5354157,Greenacres,US,CA
5354172,Greenfield,US,CA
5354307,Gridley,US,CA
5354552,Grover Beach,US,CA
5354591,Guadalupe,US,CA
5354747,Gustine,US,CA
5354819,Hacienda Heights,US,CA
5354943,Half Moon Bay,US,CA
5355180,Hanford,US,CA
5355782,Hawaiian Gardens,US,CA
5355828,Hawthorne,US,CA
5355933,Hayward,US,CA
5359864,Isla Vista,US,CA
5360403,Jamul,US,CA
5361298,Joshua Tree,US,CA
5362849,Kensington,US,CA
5362864,Kentfield,US,CA
5362909,Kerman,US,CA
5363058,Keyes,US,CA
5363208,King City,US,CA
5363429,Kingsburg,US,CA
5363859,La Canada Flintridge,US,CA
5363922,La Habra,US,CA
5363925,La Habra Heights,US,CA
5363943,La Jolla,US,CA
5363990,La Mesa,US,CA
5364007,La Mirada,US,CA
5364022,La Palma,US,CA
5364059,La Presa,US,CA
5364066,La Puente,US,CA
5364079,La Quinta,US,CA
5364095,La Riviera,US,CA
5364134,La Verne,US,CA
5364195,Ladera Heights,US,CA
5364199,Ladera Ranch,US,CA
5364226,Lafayette,US,CA
5364271,Laguna,US,CA
5364275,Laguna Beach,US,CA
5364306,Laguna Hills,US,CA
5364329,Laguna Niguel,US,CA
5364369,Laguna Woods,US,CA
5364414,Lake Arrowhead,US,CA
5364499,Lake Elsinore,US,CA
5364514,Lake Forest,US,CA
5364571,Lake Los Angeles,US,CA
5364750,Lakeland Village,US,CA
5364782,Lakeside,US,CA
5364855,Lakewood,US,CA
5364916,Lamont,US,CA
5364940,Lancaster,US,CA
5365113,Larkspur,US,CA
5365171,Las Flores,US,CA
5365172,Las Flores,US,CA
5365425,Lathrop,US,CA
5365603,Lawndale,US,CA
5365893,Lemon Grove,US,CA
5365918,Lemoore,US,CA
5365937,Lennox,US,CA
5366375,Lincoln,US,CA
5366531,Linda,US,CA
5366604,Lindsay,US,CA
5367314,Live Oak,US,CA
5367315,Live Oak,US,CA
5367427,Livingston,US,CA
5367440,Livermore,US,CA
5383526,Pinon Hills,US,CA
5383527,Placentia,US,CA
5383559,Placerville,US,CA
5383720,Pleasant Hill,US,CA
5383777,Pleasanton,US,CA
5399319,Strawberry,US,CA
5399629,Suisun,US,CA
5399901,Sun City,US,CA
5400065,Sunnyslope,US,CA
5400075,Sunnyvale,US,CA
5404794,Universal City,US,CA
5404915,Upland,US,CA
5407030,Walnut Park,US,CA
5407463,Waterford,US,CA
5407529,Watsonville,US,CA
5407841,West Athens,US,CA
5407908,West Carson,US,CA
5407927,West Rancho Dominguez,US,CA
5407933,West Covina,US,CA
5408076,West Hollywood,US,CA
5408191,West Puente Valley,US,CA
5408211,West Sacramento,US,CA
5408395,Westlake Village,US,CA
5408406,Westminster,US,CA
5408431,Westmont,US,CA
5409059,Whittier,US,CA
5409260,Wildomar,US,CA
5409417,Williams,US,CA
5409768,Willowbrook,US,CA
5409777,Willows,US,CA
5409941,Wilton,US,CA
5410004,Windsor,US,CA
5410125,Winters,US,CA
5410129,Winter Gardens,US,CA
5410144,Winton,US,CA
5410382,Woodcrest,US,CA
5410416,Woodlake,US,CA
5410430,Woodland,US,CA
5410438,Woodland Hills,US,CA
5410535,Woodside,US,CA
5410902,Yorba Linda,US,CA
5411015,Yuba City,US,CA
5411046,Yucaipa,US,CA
5411079,Yucca Valley,US,CA
5550368,Wasco,US,CA
5558857,Anderson,US,CA
5558953,Arcata,US,CA
5559320,Bayside,US,CA
5562087,Crescent City,US,CA
5563397,Eureka,US,CA
5563839,Fortuna,US,CA
5567770,McKinleyville,US,CA
5570065,Red Bluff,US,CA
5570160,Redding,US,CA
5571109,Shasta Lake,US,CA
5572400,Susanville,US,CA
5574093,Yreka,US,CA
7176039,Vineyard,US,CA
7260806,Arden-Arcade,US,CA
7260929,Bonadelle Ranchos-Madera Ranchos,US,CA
7260952,Bret Harte,US,CA
7260996,Camp Pendleton North,US,CA
7260997,Camp Pendleton South,US,CA
7261029,Casa de Oro-Mount Helix,US,CA
7261199,Lucas Valley-Marinwood,US,CA
7261268,Florence-Graham,US,CA
7261441,Hilmar-Irwin,US,CA
7261553,La Crescenta-Montrose,US,CA
7261625,Larkfield-Wikiup,US,CA
7261649,Lemoore Station,US,CA
7262050,Oroville East,US,CA
7262460,View Park-Windsor Hills,US,CA
7262504,West Modesto,US,CA
7262518,West Whittier-Los Nietos,US,CA
7262659,Tamalpais-Homestead Valley,US,CA
8030162,West Hills,US,CA
10104153,Silver Lake,US,CA
10104154,Echo Park,US,CA
5411479,Alamosa,US,CO
5412030,Applewood,US,CO
5412199,Arvada,US,CO
5412230,Aspen,US,CO
5412347,Aurora,US,CO
5412396,Avon,US,CO
5413519,Berkley,US,CO
5414069,Black Forest,US,CO
5414941,Brighton,US,CO
5415035,Broomfield,US,CO
5416005,Canon City,US,CO
5416113,Carbondale,US,CO
5416329,Castle Rock,US,CO
5416357,Castlewood,US,CO
5416541,Centennial,US,CO
5416824,Cherry Hills Village,US,CO
5417041,Cimarron Hills,US,CO
5417258,Clifton,US,CO
5417598,Colorado Springs,US,CO
5417657,Columbine,US,CO
5417737,Commerce City,US,CO
5418104,Cortez,US,CO
5419334,Delta,US,CO
5574704,Berthoud,US,CO
5574991,Boulder,US,CO
5575194,Brush,US,CO
5576064,Craig,US,CO
5576859,Erie,US,CO
5576882,Estes Park,US,CO
5576909,Evans,US,CO
5577008,Firestone,US,CO
5577147,Fort Collins,US,CO
5577153,Fort Lupton,US,CO
5577158,Fort Morgan,US,CO
5577217,Frederick,US,CO
5577592,Greeley,US,CO
5578536,Johnstown,US,CO
5579276,Longmont,US,CO
5579368,Loveland,US,CO
5579899,Milliken,US,CO
5582371,Steamboat Springs,US,CO
5582392,Sterling,US,CO
5583250,Wellington,US,CO
5583509,Windsor,US,CO
7260752,Air Force Academy,US,CO
7261393,Gunbarrel,US,CO
7262349,Security-Widefield,US,CO
7729501,Dove Valley,US,CO
8299699,Castle Pines North,US,CO
4831969,Cos Cob,US,CT
4832121,Cromwell,US,CT
4832353,Danbury,US,CT
4832425,Darien,US,CT
4832745,Derby,US,CT
4833363,East Haddam,US,CT
4833403,East Hartford,US,CT
4833425,East Haven,US,CT
4833505,East Norwalk,US,CT
4833883,Ellington,US,CT
4834040,Enfield,US,CT
4834157,Fairfield,US,CT
4834272,Farmington,US,CT
4835003,Glastonbury,US,CT
4835004,Glastonbury Center,US,CT
4835395,Greenwich,US,CT
4835461,Groton,US,CT
4835512,Guilford,US,CT
4835654,Hamden,US,CT
4835797,Hartford,US,CT
4835969,Hebron,US,CT
4837222,Kensington,US,CT
4837278,Killingly Center,US,CT
4837648,Ledyard Center,US,CT
4838116,Madison,US,CT
4838174,Manchester,US,CT
4838204,Mansfield City,US,CT
4838524,Meriden,US,CT
4838611,Middlebury,US,CT
4838633,Middletown,US,CT
4838652,Milford,US,CT
4838887,Montville Center,US,CT
4839222,Naugatuck,US,CT
4839292,New Britain,US,CT
4839319,New Canaan,US,CT
4839366,New Haven,US,CT
4839416,New London,US,CT
4839435,New Milford,US,CT
4839497,Newington,US,CT
4839636,North Branford,US,CT
4839704,North Haven,US,CT
4839745,North Stamford,US,CT
4839822,Norwalk,US,CT
4839843,Norwich,US,CT
4839921,Oakville,US,CT
4839983,Old Greenwich,US,CT
4840035,Old Saybrook,US,CT
4840104,Orange,US,CT
4840237,Oxford,US,CT
4840426,Pawcatuck,US,CT
4840755,Plainfield,US,CT
4840767,Plainville,US,CT
4840844,Plymouth,US,CT
4841001,Portland,US,CT
4841089,Prospect,US,CT
4841187,Putnam,US,CT
4841463,Ridgefield,US,CT
4841527,Riverside,US,CT
4841628,Rockville,US,CT
4842818,Seymour,US,CT
4842898,Shelton,US,CT
4842958,Sherwood Manor,US,CT
4843353,South Windsor,US,CT
4843362,Southbury,US,CT
4843411,Southwood Acres,US,CT
4843553,Stafford,US,CT
4843564,Stamford,US,CT
4843786,Storrs,US,CT
4843811,Stratford,US,CT
4844084,Terryville,US,CT
4844184,Thompson,US,CT
4844200,Thompsonville,US,CT
4844273,Tolland,US,CT
4844309,Torrington,US,CT
4844459,Trumbull,US,CT
4845056,Wallingford,US,CT
4845193,Waterbury,US,CT
4845411,West Hartford,US,CT
4845419,West Haven,US,CT
4845519,West Torrington,US,CT
4845585,Westport,US,CT
4845612,Wethersfield,US,CT
4845823,Willimantic,US,CT
4845871,Wilton,US,CT
4845889,Winchester Center,US,CT
4845898,Windham,US,CT
4845920,Windsor,US,CT
4845926,Windsor Locks,US,CT
4845953,Winsted,US,CT
4845984,Wolcott,US,CT
4846022,Woodbridge,US,CT
4846028,Woodbury,US,CT
5281551,Ansonia,US,CT
5282297,Bethel,US,CT
5282804,Bridgeport,US,CT
5282835,Bristol,US,CT
5283054,Branford,US,CT
5283837,Cheshire,US,CT
7160204,City of Milford (balance),US,CT
7257357,Conning Towers-Nautilus Park,US,CT
7257408,Simsbury Center,US,CT
7257422,Wallingford Center,US,CT
7257798,Branford Center,US,CT
7257805,Cheshire Village,US,CT
4140963,"Washington, D.C.",US,DC
4141363,Bear,US,DE
4141674,Brookside,US,DE
4141974,Claymont,US,DE
4142290,Dover,US,DE
4142398,Edgemoor,US,DE
4142424,Elsmere,US,DE
4142643,Georgetown,US,DE
4142683,Glasgow,US,DE
4142969,Hockessin,US,DE
4143637,Middletown,US,DE
4143658,Milford,US,DE
4143834,New Castle,US,DE
4143861,Newark,US,DE
4143897,North Star,US,DE
4144100,Pike Creek,US,DE
4144101,Pike Creek Valley,US,DE
4144600,Seaford,US,DE
4144764,Smyrna,US,DE
4145381,Wilmington,US,DE
4145395,Wilmington Manor,US,DE
4047906,Trinity,US,FL
4047914,Villas,US,FL
4145719,Alachua,US,FL
4145805,Allapattah,US,FL
4145941,Altamonte Springs,US,FL
4146039,Andover,US,FL
4146161,Apollo Beach,US,FL
4146166,Apopka,US,FL
4146206,Arcadia,US,FL
4146302,Asbury Lake,US,FL
4146354,Atlantic Beach,US,FL
4146389,Auburndale,US,FL
4146429,Aventura,US,FL
4146440,Avon Park,US,FL
4146464,Azalea Park,US,FL
4146723,Bartow,US,FL
4146823,Bay Harbor Islands,US,FL
4146901,Bayonet Point,US,FL
4146934,Bayshore Gardens,US,FL
4146984,Beacon Square,US,FL
4147145,Bee Ridge,US,FL
4147241,Belle Glade,US,FL
4147247,Belle Isle,US,FL
4147290,Bellview,US,FL
4147581,Beverly Hills,US,FL
4148012,Bithlo,US,FL
4148207,Bloomingdale,US,FL
4148399,Boca Del Mar,US,FL
4148411,Boca Raton,US,FL
4148533,Bonita Springs,US,FL
4148674,Boyette,US,FL
4148677,Boynton Beach,US,FL
4148708,Bradenton,US,FL
4148757,Brandon,US,FL
4148803,Brent,US,FL
4148944,Broadview Park,US,FL
4148986,Brooksville,US,FL
4149077,Brownsville,US,FL
4149269,Buenaventura Lakes,US,FL
4149635,Callaway,US,FL
4149956,Cantonment,US,FL
4149959,Cape Canaveral,US,FL
4149962,Cape Coral,US,FL
4150066,Carol City,US,FL
4150115,Carrollwood,US,FL
4150118,Carrollwood Village,US,FL
